city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Łęczyca,52.0583,19.2000,Poland,PL,Łódzkie,minor,15593,15593
Jędrzejów,50.6333,20.3000,Poland,PL,Świętokrzyskie,minor,15484,15484
Siemiatycze,52.4272,22.8625,Poland,PL,Podlaskie,minor,15169,15169
Choszczno,53.1667,15.4000,Poland,PL,Zachodniopomorskie,minor,15109,15109
Limanowa,49.7167,20.4667,Poland,PL,Małopolskie,minor,14738,14738
Grodzisk Wielkopolski,52.2333,16.3667,Poland,PL,Wielkopolskie,minor,14697,14697
Wschowa,51.8000,16.3000,Poland,PL,Lubuskie,minor,14607,14607
Nidzica,53.3583,20.4250,Poland,PL,Warmińsko-Mazurskie,minor,13872,13872
Człuchów,53.6500,17.3667,Poland,PL,Pomorskie,minor,13869,13869
Gołdap,54.3063,22.3036,Poland,PL,Warmińsko-Mazurskie,minor,13716,13716
Głubczyce,50.2000,17.8333,Poland,PL,Opolskie,minor,13572,13572
Wolsztyn,52.1167,16.1167,Poland,PL,Wielkopolskie,minor,13477,13477
Trzebnica,51.3050,17.0614,Poland,PL,Dolnośląskie,minor,13161,13161
Włodawa,51.5500,23.5500,Poland,PL,Lubelskie,minor,13066,13066
Golub-Dobrzyń,53.1000,19.0500,Poland,PL,Kujawsko-Pomorskie,minor,12546,12546
Brzeziny,51.8000,19.7500,Poland,PL,Łódzkie,minor,12501,12501
Lubaczów,50.1556,23.1230,Poland,PL,Podkarpackie,minor,12415,12415
Aleksandrów Kujawski,52.8750,18.7000,Poland,PL,Kujawsko-Pomorskie,minor,12359,12359
Węgorzewo,54.2167,21.7500,Poland,PL,Warmińsko-Mazurskie,minor,12186,12186
Janów Lubelski,50.7000,22.4000,Poland,PL,Lubelskie,minor,11879,11879
Góra,51.6667,16.5500,Poland,PL,Dolnośląskie,minor,11678,11678
Drawsko Pomorskie,53.5333,15.8000,Poland,PL,Zachodniopomorskie,minor,11597,11597
Krosno Odrzańskie,52.0542,15.1000,Poland,PL,Lubuskie,minor,11238,11238
Nowe Miasto Lubawskie,53.4167,19.5833,Poland,PL,Warmińsko-Mazurskie,minor,10997,10997
Kolno,53.4106,21.9339,Poland,PL,Podlaskie,minor,10396,10396
Lwówek Śląski,51.1167,15.5833,Poland,PL,Dolnośląskie,minor,9500,9500
Kamień Pomorski,53.9697,14.7858,Poland,PL,Zachodniopomorskie,minor,9144,9144
Kolbuszowa,50.2500,21.7667,Poland,PL,Podkarpackie,minor,8732,8732
Kazimierza Wielka,50.2656,20.4936,Poland,PL,Świętokrzyskie,minor,5848,5848
Hrubieszów,50.8167,23.8833,Poland,PL,Lubelskie,minor,1752,1752
Świętochłowice,50.2979,18.9102,Poland,PL,Śląskie,minor,,
Lubin,51.4000,16.2000,Poland,PL,Dolnośląskie,minor,,
Mińsk Mazowiecki,52.1833,21.5667,Poland,PL,Mazowieckie,minor,,
Żyrardów,52.0500,20.4333,Poland,PL,Mazowieckie,minor,,
Tczew,54.0911,18.7864,Poland,PL,Pomorskie,minor,,
Ostróda,53.7000,19.9667,Poland,PL,Warmińsko-Mazurskie,minor,,
Siemianowice Śląskie,50.3274,19.0290,Poland,PL,Śląskie,minor,,
Puck,54.7142,18.4051,Poland,PL,Pomorskie,minor,,
Wejherowo,54.6000,18.2500,Poland,PL,Pomorskie,minor,,
Sokołów Podlaski,52.4067,22.2464,Poland,PL,Mazowieckie,minor,,
Płońsk,52.6250,20.3833,Poland,PL,Mazowieckie,minor,,
Wąbrzeźno,53.2833,18.9500,Poland,PL,Kujawsko-Pomorskie,minor,,
Mrągowo,53.8644,21.3051,Poland,PL,Warmińsko-Mazurskie,minor,,
Pruszcz Gdański,54.2622,18.6363,Poland,PL,Pomorskie,minor,,
Zduńska Wola,51.6000,18.9333,Poland,PL,Łódzkie,minor,,
Oleśnica,51.2000,17.3833,Poland,PL,Dolnośląskie,minor,,
Ostrów Wielkopolski,51.6500,17.7000,Poland,PL,Wielkopolskie,minor,,
